Img Test,Idx Room,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909991.999747_x-8.606951_y2.937288_a-3.087760.jpeg,0,-8.606951,2.937288
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910005.668601_x-11.047003_y3.363464_a2.387685.jpeg,0,-11.047003,3.363464
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910026.069882_x-8.628125_y3.065615_a-0.081133.jpeg,0,-8.628125,3.065615
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910021.377583_x-9.510741_y3.119797_a0.269806.jpeg,0,-9.510741,3.119797
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909994.855954_x-9.143360_y2.924769_a-3.104468.jpeg,0,-9.14336,2.924769
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910009.952870_x-11.245775_y4.074357_a1.288981.jpeg,0,-11.245775,4.074357
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910021.173571_x-9.549841_y3.112564_a0.288882.jpeg,0,-9.549841,3.112564
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910008.728802_x-11.355484_y3.887896_a1.946949.jpeg,0,-11.355484,3.887896
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910024.029750_x-9.006307_y3.118372_a-0.060340.jpeg,0,-9.006307,3.118372
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909998.732172_x-9.891873_y2.914327_a3.116831.jpeg,0,-9.891873,2.914327
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909999.956245_x-10.119448_y2.939198_a3.040553.jpeg,0,-10.119448,2.939198
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910001.588348_x-10.402069_y2.995814_a2.961495.jpeg,0,-10.402069,2.995814
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910005.056564_x-10.994446_y3.297315_a2.473800.jpeg,0,-10.994446,3.297315
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909996.284015_x-9.412384_y2.913372_a-3.112347.jpeg,0,-9.412384,2.913372
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910011.380959_x-10.883306_y4.071738_a0.015818.jpeg,0,-10.883306,4.071738
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909995.875988_x-9.336650_y2.915955_a-3.116104.jpeg,0,-9.33665,2.915955
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909994.039877_x-8.974135_y2.931759_a-3.110430.jpeg,0,-8.974135,2.931759
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910007.504922_x-11.270656_y3.637350_a2.205663.jpeg,0,-11.270656,3.63735
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910020.357519_x-9.681241_y3.064726_a0.252720.jpeg,0,-9.681241,3.064726
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910009.340833_x-11.359268_y3.991380_a1.846732.jpeg,0,-11.359268,3.99138
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910018.113379_x-10.096928_y2.967174_a-0.819080.jpeg,0,-10.096928,2.967174
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909996.692039_x-9.493054_y2.913567_a-3.119805.jpeg,0,-9.493054,2.913567
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909992.611785_x-8.723709_y2.938902_a-3.112077.jpeg,0,-8.723709,2.938902
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909995.264008_x-9.233674_y2.919741_a-3.109069.jpeg,0,-9.233674,2.919741
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910014.441152_x-10.581970_y3.562902_a-0.948995.jpeg,0,-10.58197,3.562902
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910022.601660_x-9.259166_y3.137108_a0.114064.jpeg,0,-9.259166,3.137108
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909997.916139_x-9.714663_y2.909157_a-3.132190.jpeg,0,-9.714663,2.909157
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910023.621722_x-9.089112_y3.140742_a0.056768.jpeg,0,-9.089112,3.140742
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909998.528154_x-9.834487_y2.905854_a-3.133981.jpeg,0,-9.834487,2.905854
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910013.013160_x-10.729548_y3.771684_a-0.909719.jpeg,0,-10.729548,3.771684
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910020.153507_x-9.697073_y3.057060_a0.222797.jpeg,0,-9.697073,3.05706
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910015.665225_x-10.452232_y3.358161_a-0.992366.jpeg,0,-10.452232,3.358161
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910017.909365_x-10.147594_y2.998568_a-0.894783.jpeg,0,-10.147594,2.998568
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910015.461270_x-10.474498_y3.392148_a-0.991826.jpeg,0,-10.474498,3.392148
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910020.969558_x-9.582558_y3.106216_a0.307339.jpeg,0,-9.582558,3.106216
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910007.300704_x-11.256808_y3.604555_a2.247227.jpeg,0,-11.256808,3.604555
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910011.788985_x-10.822546_y4.016189_a-0.250635.jpeg,0,-10.822546,4.016189
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909997.712301_x-9.692596_y2.909970_a-3.125658.jpeg,0,-9.692596,2.90997
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910013.217079_x-10.709951_y3.742537_a-0.917539.jpeg,0,-10.709951,3.742537
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910008.524783_x-11.341192_y3.850421_a1.948450.jpeg,0,-11.341192,3.850421
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910025.457839_x-8.729098_y3.074338_a-0.078521.jpeg,0,-8.729098,3.074338
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910004.852581_x-10.992597_y3.250259_a2.661028.jpeg,0,-10.992597,3.250259
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909993.835886_x-8.935844_y2.928269_a-3.104478.jpeg,0,-8.935844,2.928269
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910025.049813_x-8.805547_y3.077812_a-0.075563.jpeg,0,-8.805547,3.077812
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910016.685290_x-10.348335_y3.201198_a-0.985106.jpeg,0,-10.348335,3.201198
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910020.765545_x-9.602037_y3.100014_a0.307248.jpeg,0,-9.602037,3.100014
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909999.752233_x-10.074763_y2.939237_a3.039520.jpeg,0,-10.074763,2.939237
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910005.464646_x-11.026604_y3.345314_a2.390554.jpeg,0,-11.026604,3.345314
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910023.417711_x-9.116745_y3.144161_a0.077026.jpeg,0,-9.116745,3.144161
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910007.708729_x-11.287607_y3.672492_a2.169950.jpeg,0,-11.287607,3.672492
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910018.521404_x-10.026712_y2.947027_a-0.651988.jpeg,0,-10.026712,2.947027
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910012.809046_x-10.752397_y3.802492_a-0.905350.jpeg,0,-10.752397,3.802492
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909994.243889_x-9.012232_y2.928056_a-3.104743.jpeg,0,-9.012232,2.928056
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909999.140197_x-9.964689_y2.932955_a3.047644.jpeg,0,-9.964689,2.932955
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910019.949494_x-9.747361_y3.028976_a0.077004.jpeg,0,-9.747361,3.028976
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910021.581697_x-9.464998_y3.128917_a0.257428.jpeg,0,-9.464998,3.128917
