Img Test,Idx Room
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909991.999747_x-8.606951_y2.937288_a-3.087760.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910005.668601_x-11.047003_y3.363464_a2.387685.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910026.069882_x-8.628125_y3.065615_a-0.081133.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910021.377583_x-9.510741_y3.119797_a0.269806.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909994.855954_x-9.143360_y2.924769_a-3.104468.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910009.952870_x-11.245775_y4.074357_a1.288981.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910021.173571_x-9.549841_y3.112564_a0.288882.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910008.728802_x-11.355484_y3.887896_a1.946949.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910024.029750_x-9.006307_y3.118372_a-0.060340.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909998.732172_x-9.891873_y2.914327_a3.116831.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909999.956245_x-10.119448_y2.939198_a3.040553.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910001.588348_x-10.402069_y2.995814_a2.961495.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910005.056564_x-10.994446_y3.297315_a2.473800.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909996.284015_x-9.412384_y2.913372_a-3.112347.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910011.380959_x-10.883306_y4.071738_a0.015818.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909995.875988_x-9.336650_y2.915955_a-3.116104.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909994.039877_x-8.974135_y2.931759_a-3.110430.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910007.504922_x-11.270656_y3.637350_a2.205663.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910020.357519_x-9.681241_y3.064726_a0.252720.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910009.340833_x-11.359268_y3.991380_a1.846732.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910018.113379_x-10.096928_y2.967174_a-0.819080.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909996.692039_x-9.493054_y2.913567_a-3.119805.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909992.611785_x-8.723709_y2.938902_a-3.112077.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152909995.264008_x-9.233674_y2.919741_a-3.109069.jpeg,0
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/TestNight/1PO-A/t1152910014.441152_x-10.581970_y3.562902_a-0.948995.jpeg,0
